target_word,prefix,rank
ta-mâyi-kîsikâw,ta-mâyi-kîsi,130
ta-mâyi-kîsikâw,ta-mâyi-kîsik,25
ta-mâyi-kîsikâw,ta-mâyi-kîsikâ,20
ta-mânokêwak,t,3159
ta-mânokêwak,ta,22666
ta-mânokêwak,ta-,26384
ta-mânokêwak,ta-m,4225
ta-mânokêwak,ta-mâ,924
ta-mânokêwak,ta-mân,16
ta-mânokêwak,ta-mâno,13
ta-mânokêwak,ta-mânok,13
ta-mânokêwak,ta-mânokê,14
ta-mânokêwak,ta-mânokêw,3
ta-mânokêwak,ta-mânokêwa,2
ta-kiskêyihtahk,t,3159
ta-kiskêyihtahk,ta,22666
ta-kiskêyihtahk,ta-,26384
ta-kiskêyihtahk,ta-k,5235
ta-kiskêyihtahk,ta-ki,2718
ta-kiskêyihtahk,ta-kis,1291
ta-kiskêyihtahk,ta-kisk,476
ta-kiskêyihtahk,ta-kiskê,27
ta-kiskêyihtahk,ta-kiskêy,27
ta-kiskêyihtahk,ta-kiskêyi,27
ta-kiskêyihtahk,ta-kiskêyih,22
ta-kiskêyihtahk,ta-kiskêyiht,20
ta-kiskêyihtahk,ta-kiskêyihta,31
ta-kiskêyihtahk,ta-kiskêyihtah,3
ta-itohtêt,t,3159
ta-itohtêt,ta,22666
ta-itohtêt,ta-,26384
ta-itohtêt,ta-i,933
ta-itohtêt,ta-it,461
ta-itohtêt,ta-ito,30
ta-itohtêt,ta-itoh,14
ta-itohtêt,ta-itoht,14
ta-itohtêt,ta-itohtê,16
sêskisiw,s,4362
sêskisiw,sê,2446
sêskisiw,sês,1957
sêskisiw,sêsk,73
sêskisiw,sêski,20
sêskisiw,sêskis,5
sêskisiw,sêskisi,41
sêkisiwak,s,4362
sêkisiwak,sê,2446
sêkisiwak,sêk,250
sêkisiwak,sêki,117
sêkisiwak,sêkis,33
sêkisiwak,sêkisi,45
sêkisiwak,sêkisiw,4
sêkisiwak,sêkisiwa,2
sêkihik,s,4362
sêkihik,sê,2446
sêkihik,sêk,250
sêkihik,sêki,117
sêkihik,sêkih,174
sêkihik,sêkihi,115
sâmahwêw,s,4362
sâmahwêw,sâ,887
sâmahwêw,sâm,31
sâmahwêw,sâma,15
sâmahwêw,sâmah,121
sâmahwêw,sâmahw,49
sâmahwêw,sâmahwê,4
sâkôcimiski,s,4362
sâkôcimiski,sâ,887
sâkôcimiski,sâk,304
sâkôcimiski,sâkô,23
sâkôcimiski,sâkôc,17
sâkôcimiski,sâkôci,15
sâkôcimiski,sâkôcim,162
sâkôcimiski,sâkôcimi,114
sâkôcimiski,sâkôcimis,5
sâkôcimiski,sâkôcimisk,5
sâkohihci,s,4362
sâkohihci,sâ,887
sâkohihci,sâk,304
sâkohihci,sâko,53
sâkohihci,sâkoh,172
sâkohihci,sâkohi,113
sâkohihci,sâkohih,10
sâkohihci,sâkohihc,3
sipwêhtatâwak,s,4362
sipwêhtatâwak,si,2125
sipwêhtatâwak,sip,202
sipwêhtatâwak,sipw,78
sipwêhtatâwak,sipwê,21683
sipwêhtatâwak,sipwêh,4794
sipwêhtatâwak,sipwêht,11
sipwêhtatâwak,sipwêhta,15
sipwêhtatâwak,sipwêhtat,2
sipwêhtatâwak,sipwêhtatâ,40
sipwêhtatâwak,sipwêhtatâw,3
sipwêhtatâwak,sipwêhtatâwa,2
saskahohtêw,s,4362
saskahohtêw,sa,2917
saskahohtêw,sas,1929
saskahohtêw,sask,72
saskahohtêw,saska,60
saskahohtêw,saskah,135
saskahohtêw,saskaho,144
saskahohtêw,saskahoh,21
saskahohtêw,saskahoht,7
saskahohtêw,saskahohtê,31
sakâyiw,s,4362
sakâyiw,sa,2917
sakâyiw,sak,438
sakâyiw,sakâ,90
sakâyiw,sakây,6
sakâyiw,sakâyi,6
sakahpitêw,s,4362
sakahpitêw,sa,2917
sakahpitêw,sak,438
sakahpitêw,saka,193
sakahpitêw,sakah,267
sakahpitêw,sakahp,10
sakahpitêw,sakahpi,10
sakahpitêw,sakahpit,148
sakahpitêw,sakahpitê,19
pôyoyiwa,p,7968
pôyoyiwa,pô,221
pôyoyiwa,pôy,3
pôyoyiwa,pôyo,41
pôyoyiwa,pôyoy,15
pôyoyiwa,pôyoyi,4
pôyoyiwa,pôyoyiw,2
pôsiw,p,7968
pôsiw,pô,221
pôsiw,pôs,92
pôsiw,pôsi,91
pôni-atoskêw,p,7968
pôni-atoskêw,pô,221
pôni-atoskêw,pôn,254
pôni-atoskêw,pôni,21769
pôni-atoskêw,pôni-,26385
pôni-atoskêw,pôni-a,2583
pôni-atoskêw,pôni-at,183
pôni-atoskêw,pôni-ato,45
pôni-atoskêw,pôni-atos,61
pôni-atoskêw,pôni-atosk,25
pôni-atoskêw,pôni-atoskê,43
pîkopayiyiwa,p,7968
pîkopayiyiwa,pî,837
pîkopayiyiwa,pîk,215
pîkopayiyiwa,pîko,78
pîkopayiyiwa,pîkop,19
pîkopayiyiwa,pîkopa,4
pîkopayiyiwa,pîkopay,4
pîkopayiyiwa,pîkopayi,48
pîkopayiyiwa,pîkopayiy,19
pîkopayiyiwa,pîkopayiyi,8
pîkopayiyiwa,pîkopayiyiw,3
